ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Betclic (FR),Betsson,Nordic Bet,Betfair,DraftKings,Unibet (SE),LeoVegas (SE),BetMGM,Pinnacle,Matchbook,Polymarket,Kalshi,GTbets,Novig,Coolbet,888sport,Unibet (NL),BetRivers,ProphetX,BetOnline.ag,LowVig.ag,Bovada,BetUS,1xBet,BetOpenly,William Hill,Marathon Bet,Everygame,Parions Sport (FR),Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Betclic (FR),Vigfree Betsson,Vigfree Nordic Bet,Vigfree Betfair,Vigfree DraftKings,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree BetMGM,Vigfree Pinnacle,Vigfree Matchbook,Vigfree Polymarket,Vigfree Kalshi,Vigfree GTbets,Vigfree Novig,Vigfree Coolbet,Vigfree 888sport,Vigfree Unibet (NL),Vigfree BetRivers,Vigfree ProphetX,Vigfree BetOnline.ag,Vigfree LowVig.ag,Vigfree Bovada,Vigfree BetUS,Vigfree 1xBet,Vigfree BetOpenly,Vigfree William Hill,Vigfree Marathon Bet,Vigfree Everygame,Vigfree Parions Sport (FR),Tipico,Codere (IT),Vigfree Tipico,Vigfree Codere (IT),Start Date,Unibet (FR),BetAnything,Vigfree Unibet (FR),Vigfree BetAnything,Suprabets,PMU (FR),Vigfree Suprabets,Vigfree PMU (FR),MyBookie.ag,Vigfree MyBookie.ag,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
49d93f5d9f2bb723d26ec650e29d8513,basketball_ncaab,NCAAB,2026-02-15T19:02:47Z,2026-02-15T19:57:55Z,North Texas Mean Green @ Temple Owls,North Texas Mean Green,3.5,,,,,3.05,,2.85,,,3.1,,,3.85,4.0,3.24,2.0,,3.0,2.95,2.85,3.3,,,,,,,,,,,0.2553,,,,,0.2793,,0.3208,,,0.2936,,,0.2539,0.2462,0.2784,,,0.2907,0.3072,0.3078,0.2756,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,3.85,3.54,0.09,2.0,Not Found
865138e99e12ec418e0cb083f380ed83,basketball_ncaab,NCAAB,2026-03-01T02:35:00Z,2026-03-01T04:34:35Z,Long Beach St 49ers @ CSU Bakersfield Roadrunners,CSU Bakersfield Roadrunners,1.96,,,,,2.6,,2.6,,,2.54,,,2.7,2.13,1.88,,,2.7,2.8,2.5,2.68,,,2.25,,,,,,,,0.4804,,,,,0.33,,0.3545,,,0.3635,,,0.3605,0.46,0.5,,,0.328,0.324,0.3528,0.3464,,,0.4264,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,2.7,2.59,0.04,2.0,Not Found
c0ad8da0dc118fdd55a500ca6dc18abf,basketball_ncaab,NCAAB,2026-03-01T03:40:00Z,2026-03-01T04:34:35Z,UC Santa Barbara Gauchos @ UC Irvine Anteaters,UC Santa Barbara Gauchos,5.7,,,,,4.2,,4.6,,,4.75,4.46,,5.56,6.25,4.73,4.74,,4.25,5.6,5.3,4.9,,,2.65,,,,,,,,0.1452,,,,,0.188,,0.1885,,,0.1815,0.1919,,0.1662,0.1563,0.182,0.1707,,0.1903,0.1468,0.1439,0.1854,,,0.3576,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,5.56,5.4,0.03,2.0,Not Found
e2e177235685f130b156f027808e152b,basketball_ncaab,NCAAB,2026-03-01T03:14:00Z,2026-03-01T05:39:21Z,Nevada Wolf Pack @ UNLV Rebels,Nevada Wolf Pack,1.2,,,,,1.63,,1.91,,1.63,1.98,2.36,,1.79,1.69,1.6,,,1.2,1.68,1.65,1.65,,,,,,,,,,,0.803,,,,,0.5628,,0.4886,,0.5664,0.4747,0.4013,,0.5541,0.5813,0.5942,,,0.7917,0.5661,0.5649,0.5768,,,,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,1.79,1.73,0.04,2.0,Not Found
7ee8cab6db50bfa0f97ac6fb9ca42508,basketball_ncaab,NCAAB,2026-03-01T17:01:47Z,2026-03-01T17:38:31Z,Rutgers Scarlet Knights @ Maryland Terrapins,Maryland Terrapins,3.9,,,,,3.75,,3.5,,3.45,3.6,1.51,,4.55,5.26,5.24,2.25,,3.75,3.6,3.7,,,,3.75,,,,,,,,0.225,,,,,0.2167,,0.2553,,0.2449,0.2513,0.6388,,0.2099,0.1852,0.1606,,,0.2235,0.2483,0.2286,,,,0.2333,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,4.55,3.91,0.16,2.0,Not Found
5997c08b8bc9bda09d34110008196f3d,basketball_ncaab,NCAAB,2026-03-01T17:02:00Z,2026-03-01T17:55:05Z,Tulane Green Wave @ South Florida Bulls,Tulane Green Wave,18.0,,,,,9.5,,15.0,,,17.0,7.61,,21.28,20.0,9.97,4.5,,11.0,17.0,,,,,,,,,,,,,0.0327,,,,,0.0576,,0.0479,,,0.0344,0.1027,,0.0381,0.0396,0.0694,,,0.0553,0.0344,,,,,,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,21.28,19.53,0.09,2.0,Not Found
727d266b5023243b5473f4adb6171172,basketball_ncaab,NCAAB,2026-03-01T17:03:27Z,2026-03-01T17:55:05Z,La Salle Explorers @ Davidson Wildcats,La Salle Explorers,11.0,,,,,8.0,,7.0,,,7.25,3.82,,10.0,10.0,6.95,9.26,,8.5,11.5,10.0,,,,4.75,,,,,,,,0.06,,,,,0.0771,,0.1169,,,0.1102,0.2372,,0.0913,0.0955,0.1132,0.0589,,0.0826,0.058,0.0598,,,,0.1779,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,10.0,9.71,0.03,2.0,Not Found
3f83ad0acdb189fc69f3615b376d0b53,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:00:36Z,Rider Broncs @ Siena Saints,Rider Broncs,9.6,,,,9.0,9.0,,,,8.0,8.75,9.86,,12.5,11.11,9.4,9.17,,9.25,8.5,8.5,11.0,9.36,9.36,8.75,9.25,8.0,11.82,10.0,6.45,8.75,,0.0804,,,,0.0748,0.0748,,,,0.0908,0.0854,0.0834,,0.077,0.082,0.0859,0.0872,,0.0824,0.0871,0.0871,0.0825,0.0861,0.0861,0.0899,0.0868,0.0908,0.0793,0.0692,0.1188,0.0899,,,,,,2026-03-01,,,,,,,,,,,Polymarket,12.5,11.75,0.06,2.0,Not Found
805d7efd32e359a3926b43dee552c496,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:00:36Z,Memphis Tigers @ East Carolina Pirates,East Carolina Pirates,2.72,,,,2.6,2.6,,2.7,,2.48,2.55,2.55,,2.86,2.63,2.65,2.82,,2.6,2.5,2.5,2.78,2.65,2.65,2.6,2.63,2.62,2.76,2.5,2.49,2.65,,0.346,,,,0.3475,0.3475,,0.3496,,0.3705,0.3627,0.3735,,0.3459,0.3696,0.3576,0.3372,,0.359,0.3732,0.3732,0.3573,0.3619,0.3619,0.3676,0.3633,0.346,,0.3667,0.3652,0.3619,,,,,,2026-03-01,,,,,,,,,,,Polymarket,2.86,2.78,0.03,2.0,Not Found
974c5a1d9e803ee972980141fd3b8867,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:31:07Z,Saint Peter's Peacocks @ Marist Red Foxes,Saint Peter's Peacocks,8.0,,,,,4.8,,,,,5.5,,,7.14,7.14,4.99,2.3,,5.1,7.5,6.25,,,,2.6,,,,,,,,0.0952,,,,,0.1577,,,,,0.1523,,,0.1314,0.1352,0.1692,,,0.1516,0.0994,0.1127,,,,0.3676,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,7.14,6.36,0.12,2.0,Not Found
85fb38a9d32c4060ba8411667bee81fa,basketball_ncaab,NCAAB,2026-03-01T19:02:44Z,2026-03-01T19:31:07Z,Mt. St. Mary's Mountaineers @ Fairfield Stags,Fairfield Stags,4.2,,,,,3.95,,4.25,,,3.8,,,5.0,5.26,4.73,,,4.0,3.8,3.55,,,,4.25,,,,,,,,0.2092,,,,,0.2029,,0.2044,,,0.2316,,,0.1902,0.1852,0.182,,,0.2083,0.2284,0.2343,,,,0.201,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,5.0,4.83,0.04,2.0,Not Found
7b3de2cf6175e85d251f48b501b0e157,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:31:07Z,Iona Gaels @ Manhattan Jaspers,Manhattan Jaspers,2.34,,,,,2.2,,,,,2.25,,,2.44,2.56,2.01,,,2.25,2.08,1.93,,,,2.2,,,,,,,,0.3972,,,,,0.4047,,,,,0.4136,,,0.4055,0.3808,0.4679,,,0.4038,0.4463,0.4717,,,,0.4242,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,2.44,2.37,0.03,2.0,Not Found
bb4195b038cce802d282f17ff4ca7471,basketball_nba,NBA,2026-03-01T18:10:00Z,2026-03-01T19:31:07Z,San Antonio Spurs @ New York Knicks,New York Knicks,1.3,1.29,1.37,1.28,1.33,1.33,1.38,1.37,1.34,1.33,1.4,1.37,1.4,1.43,1.45,1.23,1.42,1.32,1.3,1.33,1.34,1.38,,,1.21,,,,,,,,0.7376,0.709,0.6955,0.7334,0.7172,0.7172,0.7153,0.6983,0.7193,0.7146,0.6847,0.7157,0.7033,0.6949,0.6798,0.7815,0.6903,0.7273,0.7376,0.7267,0.7144,0.7085,,,0.7942,,,,,,,,1.35,,0.698,,2026-03-01,,,,,,,,,1.35,0.7165,Polymarket,1.43,1.39,0.03,2.0,Not Found
8b33c975c44f4ea2985e67ce72cfa3c6,basketball_ncaab,NCAAB,2026-03-01T18:36:40Z,2026-03-01T19:47:31Z,Purdue Boilermakers @ Ohio State Buckeyes,Purdue Boilermakers,2.32,,,,,2.75,1.01,3.0,,3.15,2.35,1.57,,3.23,3.33,3.1,2.94,,2.88,3.3,3.2,2.84,,,2.75,,,,,,,,0.4011,,,,,0.3142,,0.3017,,0.2681,0.3943,0.6011,,0.3002,0.2955,0.2936,0.3024,,0.306,0.2727,0.2716,0.3514,,,0.3322,,,,,,,,,,,,2026-03-01,,,,,,,,,,,Polymarket,3.23,3.0,0.08,2.0,Not Found
