Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Vegas Golden Knights @ Calgary Flames,NHL,Vegas Golden Knights,2025-10-14 21:08:12,DraftKings,3.4,2025-10-14 22:04:00,2025-10-15 01:08:12,2025-10-15 02:04:00,3.2,6.2,Vegas Golden Knights
Carolina Hurricanes @ San Jose Sharks,NHL,San Jose Sharks,2025-10-14 22:08:59,FanDuel,3.0,2025-10-14 23:12:10,2025-10-15 02:08:59,2025-10-15 03:12:10,2.85,5.21,Carolina Hurricanes
Pittsburgh Penguins @ Anaheim Ducks,NHL,Pittsburgh Penguins,2025-10-14 22:44:38,BetMGM,2.45,2025-10-14 23:43:52,2025-10-15 02:44:38,2025-10-15 03:43:52,2.29,7.15,Anaheim Ducks
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Hokkaido Nippon-Ham Fighters,2025-10-15 05:00:00,BetMGM,2.54,2025-10-15 03:59:12,2025-10-15 09:00:00,2025-10-15 07:59:12,2.49,2.1,Fukuoka SoftBank Hawks
Yokohama DeNA BayStars @ Hanshin Tigers,NPB,Yokohama DeNA BayStars,2025-10-15 05:01:00,FanDuel,2.72,2025-10-15 06:59:07,2025-10-15 09:01:00,2025-10-15 10:59:07,2.44,11.3,Hanshin Tigers
Hapoel Tel Aviv @ Valencia Basket,Basketball Euroleague,Valencia Basket,2025-10-15 14:30:00,BetMGM,2.35,2025-10-15 14:41:36,2025-10-15 18:30:00,2025-10-15 18:41:36,1.81,29.88,Hapoel Tel Aviv BC
Memphis Grizzlies @ Charlotte Hornets,NBA Preseason,Charlotte Hornets,2025-10-15 19:00:00,Caesars,1.83,2025-10-15 17:59:06,2025-10-15 23:00:00,2025-10-15 21:59:06,1.78,2.97,Charlotte Hornets
Los Angeles Clippers @ Sacramento Kings,NBA Preseason,Sacramento Kings,2025-10-15 22:00:00,FanDuel,2.64,2025-10-15 20:45:16,2025-10-16 02:00:00,2025-10-16 00:45:16,2.58,2.34,Los Angeles Clippers
Dallas Mavericks @ Los Angeles Lakers,NBA Preseason,Los Angeles Lakers,2025-10-15 22:30:00,DraftKings,3.75,2025-10-15 22:19:27,2025-10-16 02:30:00,2025-10-16 02:19:27,3.61,3.77,Dallas Mavericks
Yokohama DeNA BayStars @ Hanshin Tigers,NPB,Yokohama DeNA BayStars,2025-10-16 05:00:00,BetMGM,3.2,2025-10-16 05:11:53,2025-10-16 09:00:00,2025-10-16 09:11:53,2.66,20.1,Hanshin Tigers
