ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Outcomes,Result
0ee4a18147d583ed1cea44af817dcf1f,basketball_ncaab,NCAAB,2026-02-15T19:02:35Z,2026-02-15T19:57:54Z,Merrimack Warriors @ Quinnipiac Bobcats,Quinnipiac Bobcats,2026-02-15,Kalshi,1.75,2.0,Not Found
d866dcc1d1b50494132050f5ee61a0cd,basketball_ncaab,NCAAB,2026-02-15T19:00:00Z,2026-02-15T20:39:09Z,Iona Gaels @ Niagara Purple Eagles,Iona Gaels,2026-02-15,Kalshi,2.94,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T20:39:09Z,Bradley Braves @ Southern Illinois Salukis,Bradley Braves,2026-02-15,Kalshi,1.41,2.0,Not Found
aa97ffea9b4c2cfbc411ead2c999c8ee,soccer_france_ligue_one,Ligue 1 - France,2026-02-15T19:45:00Z,2026-02-15T20:39:09Z,Nice @ Lyon,Nice,2026-02-15,,,3.0,Not Found
e2e177235685f130b156f027808e152b,basketball_ncaab,NCAAB,2026-03-01T03:14:00Z,2026-03-01T04:34:35Z,Nevada Wolf Pack @ UNLV Rebels,UNLV Rebels,2026-03-01,Kalshi,1.89,2.0,Not Found
c0ad8da0dc118fdd55a500ca6dc18abf,basketball_ncaab,NCAAB,2026-03-01T03:40:00Z,2026-03-01T04:34:35Z,UC Santa Barbara Gauchos @ UC Irvine Anteaters,UC Irvine Anteaters,2026-03-01,Kalshi,1.18,2.0,Not Found
3c0d0af7a9235156f96a3fcae942d550,basketball_nba,NBA,2026-03-01T02:42:00Z,2026-03-01T04:34:35Z,New Orleans Pelicans @ Utah Jazz,New Orleans Pelicans,2026-03-01,Kalshi,1.1,2.0,Not Found
9b21c511f943d9b21edc0fdeda3ae06d,soccer_mexico_ligamx,Liga MX,2026-03-01T03:10:00Z,2026-03-01T04:34:35Z,Tigres @ América,Tigres,2026-03-01,,,3.0,Not Found
015d8bf15ac1bd919c7cb78b955a8b6b,icehockey_nhl,NHL,2026-03-01T03:10:00Z,2026-03-01T04:34:35Z,Vancouver Canucks @ Seattle Kraken,Vancouver Canucks,2026-03-01,,,3.0,Not Found
2a9331c9dd7672e1ebe62104dc33a265,rugbyleague_nrl,NRL,2026-03-01T04:31:00Z,2026-03-01T05:39:21Z,St George Illawarra Dragons @ Canterbury Bulldogs,Canterbury Bulldogs,2026-03-01,,,3.0,Not Found
0cf7ec5929a9e48e18382fbad041cf7b,soccer_japan_j_league,J League,2026-03-01T07:00:00Z,2026-03-01T05:39:21Z,Mito HollyHock @ Kawasaki Frontale,Mito HollyHock,2026-03-01,,,3.0,Not Found
8c76b8541acf6858114948bf40b50f1b,soccer_korea_kleague1,K League 1,2026-03-01T07:30:00Z,2026-03-01T05:39:21Z,Gwangju FC @ Jeju United FC,Gwangju FC,2026-03-01,,,3.0,Not Found
ea563fb24bd9c7bf16ee010f87d1cf85,soccer_russia_premier_league,Premier League - Russia,2026-03-01T10:00:00Z,2026-03-01T07:10:55Z,Kryliya Sovetov @ Dinamo Moscow,Dinamo Moscow,2026-03-01,,,3.0,Not Found
b35739acbe5ac35995dd6df900e38b06,soccer_netherlands_eredivisie,Dutch Eredivisie,2026-03-01T11:15:00Z,2026-03-01T07:10:55Z,Ajax @ FC Zwolle,Ajax,2026-03-01,,,3.0,Not Found
806dc5194c0f79a2f98b1ca7444608aa,soccer_poland_ekstraklasa,Ekstraklasa - Poland,2026-03-01T11:15:00Z,2026-03-01T07:10:55Z,Radomiak Radom @ Nieciecza,Nieciecza,2026-03-01,,,3.0,Not Found
73021ceac9f67f22a4e0ec8d2b5db7af,soccer_spl,Premiership - Scotland,2026-03-01T12:00:00Z,2026-03-01T07:10:55Z,Celtic @ Rangers,Draw,2026-03-01,,,3.0,Not Found
